   UT, hrs       ALT, km       Ne, el/m^3  
    10.50          385.0     4.721e+10 
    10.50          390.0     4.536e+10 
    10.50          395.0     4.329e+10 
    10.50          400.0     4.100e+10 
    10.50          405.0     3.876e+10 
    10.50          410.0     3.677e+10 
    10.50          415.0     3.521e+10 
    10.50          420.0     3.414e+10 
    10.50          425.0     3.386e+10 
    10.50          430.0     3.408e+10 
    10.50          435.0     3.466e+10 
    10.50          440.0     3.507e+10 
    10.50          445.0     3.482e+10 
    10.50          450.0     3.360e+10 
    10.50          455.0     3.143e+10 
    10.50          460.0     2.941e+10 
    10.50          465.0     2.814e+10 
    10.50          470.0     2.804e+10 
    10.50          475.0     2.887e+10 
    10.50          480.0     3.013e+10 
    10.50          485.0     3.069e+10 
    10.50          490.0     3.050e+10 
    10.50          495.0     2.979e+10 
    10.50          500.0     2.889e+10 
    10.50          505.0     2.833e+10 
    10.50          510.0     2.805e+10 
    10.50          515.0     2.761e+10 
    10.50          520.0     2.678e+10 
    10.50          525.0     2.545e+10 
    10.50          530.0     2.384e+10 
    10.50          535.0     2.223e+10 
    10.50          540.0     2.105e+10 
    10.50          545.0     2.031e+10 
    10.50          550.0     1.992e+10 
    10.50          555.0     1.965e+10 
    10.50          560.0     1.929e+10 
    10.50          565.0     1.916e+10 
    10.50          570.0     1.964e+10 
    10.50          575.0     2.082e+10 
    10.50          580.0     2.272e+10 
    10.50          585.0     2.382e+10 
    10.50          590.0     2.533e+10 
    10.50          595.0     2.683e+10 
    10.50          600.0     2.833e+10 
    10.60           90.0     3.064e+10 
    10.60           95.0     2.856e+10 
    10.60          100.0     3.142e+10 
    10.60          105.0     3.482e+10 
    10.60          110.0     3.679e+10 
    10.60          115.0     3.896e+10 
    10.60          120.0     4.156e+10 
    10.60          125.0     4.264e+10 
    10.60          130.0     4.326e+10 
    10.60          135.0     4.525e+10 
    10.60          140.0     4.914e+10 
    10.60          145.0     5.315e+10 
    10.60          150.0     5.705e+10 
    10.60          155.0     6.055e+10 
    10.60          160.0     6.531e+10 
    10.60          165.0     6.832e+10 
    10.60          170.0     7.197e+10 
    10.60          175.0     7.539e+10 
    10.60          180.0     7.969e+10 
    10.60          185.0     8.249e+10 
    10.60          190.0     8.716e+10 
    10.60          195.0     9.229e+10 
